PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS14
4-character ID, P437
Station name, Whidbey_S_WA2007
Begin Date, 2007-09-06
End Date, 2018-09-15
Release Date, 2019-04-02
Source file, P437.pbo.igs14.pos
Offset from source file, 36.17 mm North, 32.06 mm East, -14.50 mm Vertical
Reference position, 48.0018097536 North Latitude, -122.4591572206 East Longitude, 12.47420 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2007-09-06,0.00, 0.00, 0.00, 17.02, 11.07, 44.69, repro,
2007-09-07,-0.18, 1.20, -2.09, 2.13, 1.56, 6.66, repro,
2007-09-08,0.00, 2.14, -6.37, 1.85, 1.37, 5.8, repro,
2007-09-09,-0.48, 1.99, -9.09, 1.86, 1.39, 5.79, repro,
2007-09-10,-1.19, 1.72, -6.32, 1.79, 1.32, 5.58, repro,
2007-09-11,-0.40, 1.28, -6.33, 1.75, 1.29, 5.44, repro,
2007-09-12,0.56, 1.00, -6.73, 2.08, 1.52, 6.49, repro,
2007-09-13,0.55, 2.42, -10.36, 1.97, 1.44, 6.14, repro,
2007-09-14,0.71, 1.30, -5.23, 1.8, 1.31, 5.59, repro,
2007-09-15,-0.14, 0.55, -5.28, 1.89, 1.37, 5.9, repro,
2007-09-16,-0.03, 0.46, -4.52, 2.19, 1.58, 6.83, repro,
2007-09-17,0.20, 0.88, -4.68, 1.8, 1.32, 5.67, repro,
2007-09-18,0.01, 0.25, -8.14, 1.77, 1.32, 5.63, repro,
2007-09-19,-0.37, 0.53, -6.86, 1.79, 1.31, 5.59, repro,
2007-09-20,0.58, 0.60, -6.28, 1.72, 1.26, 5.41, repro,
2007-09-21,-0.02, 1.84, -10.57, 1.8, 1.33, 5.74, repro,
2007-09-22,-1.27, 1.28, 0.35, 1.91, 1.41, 6.05, repro,
2007-09-23,0.63, 1.75, -7.36, 1.6, 1.18, 5.07, repro,
2007-09-24,-0.28, 1.44, -10.23, 1.73, 1.28, 5.47, repro,
2007-09-25,-1.06, 1.77, -2.99, 1.81, 1.3, 5.63, repro,
2007-09-26,-0.60, 1.82, -7.59, 1.82, 1.33, 5.74, repro,
2007-09-27,-0.37, 2.30, -1.39, 1.92, 1.4, 6.09, repro,
2007-09-28,-0.34, 1.47, -1.17, 1.88, 1.36, 5.92, repro,
2007-09-29,-0.22, 2.17, -3.08, 1.82, 1.34, 5.72, repro,
2007-09-30,-0.47, 0.84, -0.02, 1.72, 1.29, 5.44, repro,
2007-10-01,0.33, 1.02, -6.53, 1.96, 1.48, 6.19, repro,
2007-10-02,-0.59, 2.59, -1.34, 2.16, 1.61, 6.81, repro,
2007-10-03,-0.84, 1.10, -2.15, 1.79, 1.36, 5.71, repro,
2007-10-04,-0.40, 0.93, -3.58, 1.74, 1.32, 5.55, repro,
2007-10-05,-0.34, 1.61, -5.17, 1.65, 1.26, 5.22, repro,
2007-10-06,-0.87, 2.12, -4.61, 1.81, 1.37, 5.7, repro,
2007-10-07,-0.65, 3.49, 0.79, 2.04, 1.51, 6.31, repro,
2007-10-08,-0.97, 1.76, -8.78, 2.11, 1.55, 6.63, repro,
2007-10-09,-1.23, 0.62, 1.78, 1.94, 1.46, 6.16, repro,
2007-10-10,-0.75, 1.19, -2.76, 1.89, 1.41, 5.98, repro,
2007-10-11,-0.29, 1.90, -10.82, 1.91, 1.43, 6.07, repro,
2007-10-12,0.00, 1.39, -5.00, 1.87, 1.39, 5.81, repro,
2007-10-13,-1.04, 2.01, -8.90, 1.65, 1.24, 5.21, repro,
2007-10-14,-1.08, 0.74, -9.88, 1.77, 1.32, 5.58, repro,
2007-10-15,-1.10, 1.01, -1.46, 1.89, 1.39, 5.92, repro,
2007-10-16,0.45, 1.04, -0.93, 2.16, 1.57, 6.72, repro,
2007-10-17,-1.43, 1.07, 2.14, 1.86, 1.36, 5.81, repro,
2007-10-18,-0.95, 0.86, 1.12, 1.85, 1.36, 5.8, repro,
2007-10-19,0.59, 0.49, 0.68, 2.19, 1.59, 6.84, repro,
2007-10-20,-0.74, 1.60, -0.52, 1.83, 1.34, 5.73, repro,
2007-10-21,-0.82, 0.87, -10.14, 1.82, 1.32, 5.64, repro,
2007-10-22,-0.82, 1.93, -10.61, 1.76, 1.29, 5.51, repro,
2007-10-23,-0.48, 1.78, -15.49, 1.78, 1.3, 5.58, repro,
2007-10-24,-0.06, 1.15, -11.01, 2.14, 1.54, 6.72, repro,
2007-10-25,0.06, 1.01, -10.35, 1.83, 1.33, 5.72, repro,
2007-10-26,-0.91, 1.00, -14.81, 1.75, 1.29, 5.54, repro,
2007-10-27,-1.54, 1.07, -17.79, 1.66, 1.21, 5.22, repro,
2007-10-28,0.17, 0.70, -15.35, 1.85, 1.34, 5.79, repro,
2007-10-29,1.36, 0.38, -12.14, 2.36, 1.69, 7.38, repro,
2007-10-30,-0.08, 1.87, -15.56, 1.71, 1.24, 5.37, repro,
2007-10-31,-0.62, 0.86, -11.19, 1.71, 1.24, 5.39, repro,
2007-11-01,-0.35, 1.13, -11.02, 1.82, 1.32, 5.68, repro,
2007-11-02,-0.72, 0.68, -13.08, 1.76, 1.27, 5.46, repro,
2007-11-03,0.32, 0.43, -9.70, 1.83, 1.33, 5.7, repro,
2007-11-04,-0.89, 2.11, -6.96, 2.15, 1.54, 6.69, repro,
2007-11-05,-1.13, 1.34, -16.04, 1.8, 1.3, 5.57, repro,
2007-11-06,-1.23, 2.00, -15.70, 1.76, 1.28, 5.54, repro,
2007-11-07,-0.77, 1.34, -11.95, 1.82, 1.31, 5.69, repro,
2007-11-08,0.05, 0.34, -13.49, 1.81, 1.3, 5.67, repro,
