PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS14
4-character ID, P439
Station name, OrcasAirptWA2005
Begin Date, 2005-09-28
End Date, 2018-09-15
Release Date, 2019-04-02
Source file, P439.pbo.igs14.pos
Offset from source file, 14.91 mm North, 5.81 mm East, 8.13 mm Vertical
Reference position, 48.7081927394 North Latitude, -122.909303325 East Longitude, -13.85699 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2005-09-28,0.00, 0.00, 0.00, 17.56, 11.5, 58.82, repro,
2005-09-29,-3.21, -6.44, 19.62, 2.02, 1.47, 6.09, repro,
2005-09-30,-2.39, -6.99, 22.41, 2.34, 1.68, 7.17, repro,
2005-10-01,-2.02, -5.02, 18.85, 1.84, 1.38, 5.71, repro,
2005-10-02,-4.47, -4.64, 12.83, 1.99, 1.47, 6.12, repro,
2005-10-03,-2.91, -4.63, 13.91, 1.89, 1.4, 5.78, repro,
2005-10-04,-1.97, -3.47, 8.02, 1.77, 1.32, 5.43, repro,
2005-10-05,-3.21, -3.99, 13.93, 1.97, 1.44, 5.99, repro,
2005-10-06,-1.98, -5.04, 9.93, 1.96, 1.45, 6, repro,
2005-10-07,-1.29, -3.54, 14.77, 2.05, 1.49, 6.26, repro,
2005-10-08,-3.46, -5.31, 17.11, 1.95, 1.42, 5.92, repro,
2005-10-09,-3.13, -7.18, 18.28, 1.95, 1.43, 5.94, repro,
2005-10-10,-3.59, -6.86, 16.56, 2.2, 1.58, 6.7, repro,
2005-10-11,-2.91, -4.05, 13.66, 1.82, 1.35, 5.53, repro,
2005-10-12,-1.73, -4.38, 11.20, 2.11, 1.54, 6.49, repro,
2005-10-13,-4.20, -4.79, 12.28, 2.33, 1.69, 7.23, repro,
2005-10-14,-3.06, -4.80, 11.09, 1.99, 1.44, 6.08, repro,
2005-10-15,-2.97, -4.21, 14.40, 2.03, 1.47, 6.18, repro,
2005-10-16,-2.56, -3.78, 13.09, 2.18, 1.56, 6.68, repro,
2005-10-17,-3.03, -4.22, 11.51, 2.14, 1.54, 6.55, repro,
2005-10-18,-1.54, -4.28, 13.62, 2.32, 1.66, 7.11, repro,
2005-10-19,-2.76, -4.28, 14.31, 1.83, 1.34, 5.58, repro,
2005-10-20,-1.57, -3.06, 7.56, 2.1, 1.52, 6.3, repro,
2005-10-21,-3.06, -4.03, 7.26, 2.06, 1.48, 6.31, repro,
2005-10-22,-2.91, -5.52, 12.40, 1.95, 1.44, 5.98, repro,
2005-10-23,-2.16, -4.29, 15.50, 2.08, 1.53, 6.36, repro,
2005-10-24,-1.19, -3.69, 9.62, 1.92, 1.41, 5.86, repro,
2005-10-25,-1.96, -5.78, 12.32, 2.03, 1.48, 6.2, repro,
2005-10-26,-1.66, -4.16, 8.63, 2.19, 1.6, 6.64, repro,
2005-10-27,-1.36, -4.86, 10.54, 1.82, 1.36, 5.5, repro,
2005-10-28,-4.80, -3.55, 14.07, 2.21, 1.6, 6.7, repro,
2005-10-29,-3.04, -3.66, 20.48, 1.95, 1.43, 5.91, repro,
2005-10-30,-2.69, -4.81, 8.64, 1.9, 1.4, 5.78, repro,
2005-10-31,-2.03, -5.32, 9.87, 2.46, 1.81, 7.51, repro,
2005-11-01,-2.93, -5.12, 8.98, 1.92, 1.45, 5.84, repro,
2005-11-02,-0.97, -4.31, 14.23, 2.11, 1.59, 6.36, repro,
2005-11-03,-3.44, -2.64, 8.01, 2.17, 1.63, 6.6, repro,
2005-11-04,-3.51, -5.25, 11.68, 2.23, 1.68, 6.82, repro,
2005-11-05,-2.95, -4.41, 11.67, 2.03, 1.53, 6.21, repro,
2005-11-06,-1.74, -3.42, 6.85, 1.96, 1.47, 5.94, repro,
2005-11-07,-1.71, -4.50, 6.16, 2.01, 1.5, 6.1, repro,
2005-11-08,-3.07, -3.91, 9.36, 1.89, 1.43, 5.72, repro,
2005-11-09,-4.18, -3.55, 8.56, 2.05, 1.59, 6.04, repro,
2005-11-10,-3.45, -2.72, 11.89, 2.5, 1.84, 7.68, repro,
2005-11-11,-3.47, -5.76, 12.55, 2.09, 1.53, 6.35, repro,
2005-11-12,-2.45, -4.77, 16.72, 2.05, 1.54, 6.19, repro,
2005-11-13,-3.01, -4.44, 8.05, 1.84, 1.37, 5.61, repro,
