PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, P439
Station name, OrcasAirptWA2005
Begin Date, 2005-09-28
End Date, 2018-09-15
Release Date, 2019-07-01
Source file, P439.pbo.nam14.pos
Offset from source file, 9.06 mm North, 42.07 mm East, -9.49 mm Vertical
Reference position, 48.7081923297 North Latitude, -122.9093038229 East Longitude, -13.85953 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2005-09-28,0.00, 0.00, 0.00, 32.51, 19.44, 70.05, repro,
2005-09-29,-13.99, 3.20, 4.56, 1.93, 1.38, 5.82, repro,
2005-09-30,-13.68, 3.20, 11.12, 2.33, 1.63, 7.16, repro,
2005-10-01,-13.34, 4.90, 4.99, 1.8, 1.37, 5.62, repro,
2005-10-02,-15.88, 4.86, -1.02, 1.96, 1.45, 6.11, repro,
2005-10-03,-13.93, 5.53, -0.17, 1.93, 1.44, 5.92, repro,
2005-10-04,-12.92, 6.27, -4.39, 1.74, 1.27, 5.39, repro,
2005-10-05,-13.88, 5.52, 0.83, 1.84, 1.36, 5.73, repro,
2005-10-06,-13.54, 5.38, -0.95, 1.93, 1.41, 5.92, repro,
2005-10-07,-12.44, 6.23, 2.03, 2.04, 1.49, 6.31, repro,
2005-10-08,-14.09, 5.09, 3.56, 1.89, 1.37, 5.83, repro,
2005-10-09,-14.24, 2.82, 4.52, 1.84, 1.37, 5.65, repro,
2005-10-10,-15.06, 3.65, 1.42, 2.17, 1.57, 6.69, repro,
2005-10-11,-13.42, 6.56, -1.20, 1.79, 1.31, 5.5, repro,
2005-10-12,-13.04, 5.87, -1.73, 2.12, 1.58, 6.53, repro,
2005-10-13,-15.49, 5.53, 0.08, 2.36, 1.73, 7.36, repro,
2005-10-14,-14.17, 5.50, -0.35, 1.97, 1.41, 6.06, repro,
2005-10-15,-14.12, 6.53, 3.00, 2.04, 1.49, 6.17, repro,
2005-10-16,-13.04, 6.57, 0.38, 2.13, 1.55, 6.57, repro,
2005-10-17,-13.87, 6.43, 1.79, 2.17, 1.54, 6.59, repro,
2005-10-18,-12.57, 6.70, 0.30, 2.4, 1.75, 7.4, repro,
2005-10-19,-13.19, 6.65, 1.50, 1.8, 1.31, 5.57, repro,
2005-10-20,-12.62, 7.10, -4.51, 2.07, 1.45, 6.24, repro,
2005-10-21,-13.60, 6.65, -0.44, 2.05, 1.5, 6.38, repro,
2005-10-22,-13.55, 5.35, 0.52, 1.8, 1.33, 5.61, repro,
2005-10-23,-12.27, 5.97, 1.16, 2.11, 1.59, 6.47, repro,
2005-10-24,-11.74, 7.15, -4.15, 1.9, 1.38, 5.88, repro,
2005-10-25,-12.17, 5.56, -1.60, 2.12, 1.58, 6.56, repro,
2005-10-26,-11.86, 6.42, -3.33, 2.21, 1.62, 6.73, repro,
2005-10-27,-12.33, 5.92, -3.14, 1.87, 1.38, 5.71, repro,
2005-10-28,-15.34, 7.26, 1.98, 2.26, 1.63, 7.04, repro,
2005-10-29,-12.72, 6.54, 9.10, 1.93, 1.37, 5.91, repro,
2005-10-30,-12.89, 6.31, -4.70, 1.84, 1.33, 5.69, repro,
2005-10-31,-12.86, 5.34, -1.26, 1.99, 1.49, 6.14, repro,
2005-11-01,-13.34, 5.68, -3.26, 1.93, 1.5, 6.11, repro,
2005-11-02,-11.09, 6.72, 1.32, 2.07, 1.58, 6.46, repro,
2005-11-03,-13.68, 8.19, -3.13, 2.08, 1.55, 6.49, repro,
2005-11-04,-13.55, 6.41, -1.45, 1.73, 1.35, 5.39, repro,
2005-11-05,-12.54, 6.54, -2.89, 2.09, 1.6, 6.59, repro,
2005-11-06,-11.21, 7.38, -3.89, 2.05, 1.52, 6.34, repro,
2005-11-07,-11.48, 7.11, -6.45, 2.08, 1.53, 6.41, repro,
2005-11-08,-12.69, 7.44, -3.60, 1.91, 1.49, 6.04, repro,
2005-11-09,-13.74, 8.27, -9.17, 2.07, 1.55, 6.39, repro,
2005-11-10,-14.26, 9.03, -2.39, 2.56, 1.89, 7.99, repro,
2005-11-11,-12.76, 5.86, -0.39, 1.68, 1.22, 5.08, repro,
2005-11-12,-11.79, 7.72, 2.51, 2.1, 1.55, 6.44, repro,
2005-11-13,-12.65, 7.07, -4.49, 1.93, 1.46, 6.06, repro,
2005-11-14,-12.91, 7.41, -10.43, 2.03, 1.47, 6.32, repro,
2005-11-15,-12.39, 7.61, -15.63, 1.51, 1.09, 4.65, repro,
2005-11-16,-12.17, 7.10, -15.52, 1.99, 1.49, 6.14, repro,
2005-11-17,-13.00, 7.26, -10.78, 1.89, 1.33, 5.72, repro,
2005-11-18,-13.01, 7.50, -9.12, 1.9, 1.32, 5.76, repro,
2005-11-19,-12.69, 7.90, -12.25, 1.84, 1.3, 5.62, repro,
2005-11-20,-12.42, 7.59, -11.64, 1.88, 1.3, 5.67, repro,
2005-11-21,-12.24, 7.77, -9.94, 1.38, 1.01, 4.46, repro,
2005-11-22,-13.13, 8.27, -5.32, 1.86, 1.34, 5.74, repro,
2005-11-23,-12.49, 7.18, -2.71, 1.85, 1.3, 5.74, repro,
